"Start_time","End_time","Value","Unit"
"2019-07-13T03:00:00-04:00","2019-07-13T03:15:00-04:00",0.366,"KWH"
"2019-07-13T03:15:00-04:00","2019-07-13T03:30:00-04:00",0.294,"KWH"
"2019-07-13T03:30:00-04:00","2019-07-13T03:45:00-04:00",,"KWH"
"2019-07-13T03:45:00-04:00","2019-07-13T04:00:00-04:00",,"KWH"
"2019-07-13T04:00:00-04:00","2019-07-13T04:15:00-04:00",,"KWH"
"2019-07-13T04:15:00-04:00","2019-07-13T04:30:00-04:00",,"KWH"
"2019-07-13T04:30:00-04:00","2019-07-13T04:45:00-04:00",,"KWH"
"2019-07-13T04:45:00-04:00","2019-07-13T05:00:00-04:00",,"KWH"
"2019-07-13T05:00:00-04:00","2019-07-13T05:15:00-04:00",,"KWH"
"2019-07-13T05:15:00-04:00","2019-07-13T05:30:00-04:00",,"KWH"
"2019-07-13T05:30:00-04:00","2019-07-13T05:45:00-04:00",,"KWH"
"2019-07-13T05:45:00-04:00","2019-07-13T06:00:00-04:00",,"KWH"
"2019-07-13T06:00:00-04:00","2019-07-13T06:15:00-04:00",,"KWH"
"2019-07-13T06:15:00-04:00","2019-07-13T06:30:00-04:00",,"KWH"
"2019-07-13T06:30:00-04:00","2019-07-13T06:45:00-04:00",,"KWH"
"2019-07-13T06:45:00-04:00","2019-07-13T07:00:00-04:00",,"KWH"
"2019-07-13T07:00:00-04:00","2019-07-13T07:15:00-04:00",,"KWH"
"2019-07-13T07:15:00-04:00","2019-07-13T07:30:00-04:00",,"KWH"
"2019-07-13T07:30:00-04:00","2019-07-13T07:45:00-04:00",,"KWH"
"2019-07-13T07:45:00-04:00","2019-07-13T08:00:00-04:00",,"KWH"
"2019-07-13T08:00:00-04:00","2019-07-13T08:15:00-04:00",,"KWH"
"2019-07-13T08:15:00-04:00","2019-07-13T08:30:00-04:00",,"KWH"
"2019-07-13T08:30:00-04:00","2019-07-13T08:45:00-04:00",,"KWH"
"2019-07-13T08:45:00-04:00","2019-07-13T09:00:00-04:00",,"KWH"
"2019-07-13T09:00:00-04:00","2019-07-13T09:15:00-04:00",,"KWH"
"2019-07-13T09:15:00-04:00","2019-07-13T09:30:00-04:00",,"KWH"
